지역,년,prediction_label
강원도,2021,1329.5457236749662
강원도,2022,1503.4317309043392
강원도,2023,1647.350219375281
강원도,2024,1468.176482232183
강원도,2025,1543.9066854133882
강원도,2026,1487.1697959405913
강원도,2027,1523.4422746178057
강원도,2028,1550.4352697139163
강원도,2029,1596.7813163921985
강원도,2030,1319.1260926610273
강원도,2031,1616.48333889529
강원도,2032,1611.6217697911984
강원도,2033,1414.825058839647
강원도,2034,1659.5727955331047
강원도,2035,1305.6450713452675
강원도,2036,1338.9589063905125
강원도,2037,1527.8972635173109
강원도,2038,1524.0295092246515
강원도,2039,1451.4382742243704
강원도,2040,1500.7728257433116
강원도,2041,1577.0953179448627
강원도,2042,1417.2701386156698
강원도,2043,1462.8462614869043
강원도,2044,1514.0075941785633
강원도,2045,1300.284667266187
강원도,2046,1619.7958218581384
강원도,2047,1316.4354601084756
강원도,2048,1175.406418615108
강원도,2049,1427.7619084419964
강원도,2050,1366.5741822167265
강원도,2051,1535.433994210881
강원도,2052,1295.3715479569469
강원도,2053,1530.5676954530124
강원도,2054,1461.6294344016976
강원도,2055,1455.3486064663894
강원도,2056,1426.1905605398495
강원도,2057,1383.2371843735948
강원도,2058,1455.8152654634105
강원도,2059,1393.1713689790354
강원도,2060,1562.829641306486
강원도,2061,1488.7157916830597
강원도,2062,1504.6323586443343
강원도,2063,1428.3777127711892
강원도,2064,1561.4558909903328
강원도,2065,1553.0296414821266
강원도,2066,1510.8580833380167
강원도,2067,1494.4061628821942
강원도,2068,1548.7038096475944
강원도,2069,1554.8055693921426
강원도,2070,1578.2287392156584
강원도,2071,1516.4205870264725
강원도,2072,1263.6815036252247
강원도,2073,1518.498064790355
강원도,2074,1446.986855222853
강원도,2075,1463.1063963087342
강원도,2076,1326.5549414765062
강원도,2077,1449.2804554013037
강원도,2078,1533.4487659481788
강원도,2079,1506.3688573164904
강원도,2080,1656.979223281531
강원도,2081,1443.6039559563287
강원도,2082,1366.1869270599145
강원도,2083,1504.231185012927
강원도,2084,1482.7929148282933
강원도,2085,1472.7766631421425
강원도,2086,1538.2194121655798
강원도,2087,1500.657644060533
강원도,2088,1419.465075771414
강원도,2089,1420.0089580288893
강원도,2090,1401.4315499943793
강원도,2091,1501.6178018912995
강원도,2092,1536.8294899041703
강원도,2093,1454.8584780027538
강원도,2094,1460.4619065099484
강원도,2095,1452.0312809127697
강원도,2096,1562.1399779395235
강원도,2097,1421.77579319357
강원도,2098,1410.1562819666142
강원도,2099,1395.0626283933789
강원도,2100,1437.4974198375673
경기도,2021,1602.0404497105437
경기도,2022,1424.9665348190197
경기도,2023,1387.6948581174122
경기도,2024,1630.228671418334
경기도,2025,1463.8278661055529
경기도,2026,1626.5752044458184
경기도,2027,1318.4170800078687
경기도,2028,1433.8332902428056
경기도,2029,1406.6938877023379
경기도,2030,1424.9841767016073
경기도,2031,1436.3903234248537
경기도,2032,1341.5981608658383
경기도,2033,1192.469440970661
경기도,2034,1310.5821231101056
경기도,2035,1544.5904883515063
경기도,2036,1412.6971795610384
경기도,2037,1497.584272074528
경기도,2038,1356.2814403945592
경기도,2039,1292.4528244786984
경기도,2040,1400.1214517058227
경기도,2041,1304.6931140048898
경기도,2042,1554.2278395838018
경기도,2043,1263.1518280687949
경기도,2044,1420.3233041886801
경기도,2045,1404.4029319708295
경기도,2046,1405.0008314832507
경기도,2047,1530.4221681443908
경기도,2048,1191.0197346419739
경기도,2049,1473.8784536238195
경기도,2050,1398.0238597403327
경기도,2051,1343.703605201776
경기도,2052,1328.8310107773154
경기도,2053,1342.8251099511015
경기도,2054,1312.0173039498088
경기도,2055,1474.2257076565309
경기도,2056,1470.1226759217625
경기도,2057,1527.0079377318455
경기도,2058,1293.2495213789905
경기도,2059,1262.3388627964814
경기도,2060,1449.6072890906028
경기도,2061,1384.7908680867806
경기도,2062,1308.2768080457508
경기도,2063,1363.5647357309465
경기도,2064,1335.9865620784622
경기도,2065,1366.3536355876236
경기도,2066,1348.0172800626685
경기도,2067,1443.1974814874661
경기도,2068,1430.938619709701
경기도,2069,1384.4145446338239
경기도,2070,1458.2729604597573
경기도,2071,1315.4843915102294
경기도,2072,1458.3065097726505
경기도,2073,1420.8135132714142
경기도,2074,1307.4616579783049
경기도,2075,1364.443685012927
경기도,2076,1272.30287962989
경기도,2077,1486.384179511859
경기도,2078,1358.9517948726955
경기도,2079,1289.3753609417154
경기도,2080,1476.4385000983586
경기도,2081,1389.575648816884
경기도,2082,1391.953325581722
경기도,2083,1366.6093375885227
경기도,2084,1307.6279542772033
경기도,2085,1421.6910981761464
경기도,2086,1457.5415304280014
경기도,2087,1279.816982878541
경기도,2088,1406.9304408231228
경기도,2089,1379.181266158948
경기도,2090,1463.7924776584982
경기도,2091,1323.181785001686
경기도,2092,1312.630710080373
경기도,2093,1347.554524154114
경기도,2094,1444.6327666577674
경기도,2095,1446.4519436404
경기도,2096,1406.345208696324
경기도,2097,1451.2840195031474
경기도,2098,1356.8952891397819
경기도,2099,1382.959745426315
경기도,2100,1476.5786710670525
경상남도,2021,1458.1228529676257
경상남도,2022,1432.788235583408
경상남도,2023,1319.7503728852855
경상남도,2024,1458.2350735232128
경상남도,2025,1591.464320516243
경상남도,2026,1393.0775842021694
경상남도,2027,1350.2784011072392
경상남도,2028,1345.6049100368143
경상남도,2029,1398.3464383571265
경상남도,2030,1428.5379090672773
경상남도,2031,1297.5818905617693
경상남도,2032,1476.1123965476056
경상남도,2033,1293.6089571506857
경상남도,2034,1192.8724651528776
경상남도,2035,1567.7065036252245
경상남도,2036,1408.7854469354204
경상남도,2037,1449.2185676849144
경상남도,2038,1352.2986219227741
경상남도,2039,1336.3465300415917
경상남도,2040,1327.047293727518
경상남도,2041,1269.2271580977404
경상남도,2042,1432.534099595324
경상남도,2043,1342.9761146161195
경상남도,2044,1370.1231366274167
경상남도,2045,1275.0427761599315
경상남도,2046,1396.2094505255172
경상남도,2047,1538.4113934633544
경상남도,2048,1267.1946366344423
경상남도,2049,1429.282244477855
경상남도,2050,1284.4315752866455
경상남도,2051,1344.1771386016187
경상남도,2052,1245.957323516187
경상남도,2053,1363.6027905800358
경상남도,2054,1437.8044507362858
경상남도,2055,1321.1731721068456
경상남도,2056,1348.892695101731
경상남도,2057,1417.2248285746402
경상남도,2058,1314.8177189888713
경상남도,2059,1392.4581056443906
경상남도,2060,1219.62663398578
경상남도,2061,1313.1157022819245
경상남도,2062,1401.821141172999
경상남도,2063,1381.1903557427495
경상남도,2064,1293.0252328996178
경상남도,2065,1390.4608182399393
경상남도,2066,1393.7410407416253
경상남도,2067,1312.1876406882304
경상남도,2068,1370.3115854386804
경상남도,2069,1351.5510173111513
경상남도,2070,1355.9633170807103
경상남도,2071,1524.7510434816209
경상남도,2072,1246.040962757138
경상남도,2073,1418.4840123018773
경상남도,2074,1385.791879777428
경상남도,2075,1456.34622477799
경상남도,2076,1205.8658235618536
경상남도,2077,1464.5013079965715
경상남도,2078,1293.3775738393658
경상남도,2079,1336.2833638362745
경상남도,2080,1450.1285481185364
경상남도,2081,1470.7081894250225
경상남도,2082,1331.3588740726168
경상남도,2083,1320.3702243283499
경상남도,2084,1402.1193190759893
경상남도,2085,1430.4848905055642
경상남도,2086,1333.1379626377025
경상남도,2087,1369.92220134049
경상남도,2088,1209.7114865529447
경상남도,2089,1337.2922570537319
경상남도,2090,1331.7002002304407
경상남도,2091,1411.7746836710319
경상남도,2092,1289.9160247583184
경상남도,2093,1387.8388199401418
경상남도,2094,1396.5319746936823
경상남도,2095,1329.143982021414
경상남도,2096,1245.8378965967852
경상남도,2097,1345.2133969972458
경상남도,2098,1300.1849075427158
경상남도,2099,1367.4126380536195
경상남도,2100,1401.9938116498988
경상북도,2021,1475.3398938076102
경상북도,2022,1549.352214654058
경상북도,2023,1425.9559582607349
경상북도,2024,1440.2602962356675
경상북도,2025,1532.1279247695593
경상북도,2026,1466.5926021877808
경상북도,2027,1413.6488377852404
경상북도,2028,1428.480050022482
경상북도,2029,1228.8422974511016
경상북도,2030,1443.1780120630058
경상북도,2031,1316.288639908386
경상북도,2032,1364.0404923912433
경상북도,2033,1178.1964237789457
경상북도,2034,1532.086632334757
경상북도,2035,1442.5693889810025
경상북도,2036,1445.6118755971786
경상북도,2037,1374.3666679546986
경상북도,2038,1367.5625484768434
경상북도,2039,1448.1417982801258
경상북도,2040,1292.2913337103753
경상북도,2041,1145.4670749142872
경상북도,2042,1494.5177662362298
경상북도,2043,1337.9850143322842
경상북도,2044,1398.9605282570817
경상북도,2045,1609.0793753864095
경상북도,2046,1508.8551078082849
경상북도,2047,1356.59506238759
경상북도,2048,1604.5736452829922
경상북도,2049,1463.8770131941321
경상북도,2050,1443.2127476534397
경상북도,2051,1355.6116174052943
경상북도,2052,1443.1979674853867
경상북도,2053,1193.3740028875338
경상북도,2054,1493.5083390709308
경상북도,2055,1368.9965534018097
경상북도,2056,1341.5426434633544
경상북도,2057,1579.843699766749
경상북도,2058,1304.5801216839027
경상북도,2059,1334.1951349272144
경상북도,2060,1271.9689423266075
경상북도,2061,1377.6321125716613
경상북도,2062,1346.3905754693121
경상북도,2063,1552.2240692797325
경상북도,2064,1337.27178208605
경상북도,2065,1387.175734880845
경상북도,2066,1256.3019471532148
경상북도,2067,1481.83531819076
경상북도,2068,1379.8499127065534
경상북도,2069,1439.66385050163
경상북도,2070,1473.5199027301596
경상북도,2071,1512.3639771386017
경상북도,2072,1345.3364294697053
경상북도,2073,1394.1625612986174
경상북도,2074,1408.0059937401638
경상북도,2075,1379.5760343483025
경상북도,2076,1283.3616212693908
경상북도,2077,1459.9958362606787
경상북도,2078,1302.392669106902
경상북도,2079,1396.7157890484486
경상북도,2080,1583.840212595548
경상북도,2081,1409.5480235147818
경상북도,2082,1270.492430938062
경상북도,2083,1405.1911991695706
경상북도,2084,1307.0735957523043
경상북도,2085,1331.2407465433903
경상북도,2086,1302.5983280758205
경상북도,2087,1328.3213185701438
경상북도,2088,1315.2835377206047
경상북도,2089,1424.9441197237522
경상북도,2090,1276.0289368114884
경상북도,2091,1363.2421802987296
경상북도,2092,1273.0560149926932
경상북도,2093,1442.5921383205934
경상북도,2094,1370.666209005452
경상북도,2095,1450.7133342935026
경상북도,2096,1327.8869625393436
경상북도,2097,1382.9012041928956
경상북도,2098,1285.1026470815536
경상북도,2099,1353.562242510679
경상북도,2100,1459.8680813357128
광주광역시,2021,1519.9094845998197
광주광역시,2022,1271.6167910788556
광주광역시,2023,1351.8084927565758
광주광역시,2024,1311.4668284903328
광주광역시,2025,1307.6845912137478
광주광역시,2026,1256.9514586963242
광주광역시,2027,1341.6429316898045
광주광역시,2028,1468.2872196773828
광주광역시,2029,1267.7151411097684
광주광역시,2030,1344.8408745854877
광주광역시,2031,1251.7322736342176
광주광역시,2032,1354.5018742623088
광주광역시,2033,1392.2532843061488
광주광역시,2034,1334.686748784566
광주광역시,2035,1311.2492263025515
광주광역시,2036,1367.8624374718975
광주광역시,2037,1371.1420580527765
광주광역시,2038,1304.973365311657
광주광역시,2039,1342.9163402090826
광주광역시,2040,1360.9019829839253
광주광역시,2041,1245.72702935308
광주광역시,2042,1343.9002754046762
광주광역시,2043,1361.3549093342513
광주광역시,2044,1241.6470926188736
광주광역시,2045,1329.4035043839926
광주광역시,2046,1314.8938741780014
광주광역시,2047,1419.965852454755
광주광역시,2048,1367.420640948179
광주광역시,2049,1233.2967683860722
광주광역시,2050,1240.362706553507
광주광역시,2051,1256.8665443036195
광주광역시,2052,1338.7634788458292
광주광역시,2053,1315.4223200736287
광주광역시,2054,1382.7781086654113
광주광역시,2055,1291.927947075933
광주광역시,2056,1300.314212848471
광주광역시,2057,1407.813109297718
광주광역시,2058,1238.7805628934352
광주광역시,2059,1422.8943687823178
광주광역시,2060,1282.193186720155
광주광역시,2061,1242.1272496065646
광주광역시,2062,1226.9096670905462
광주광역시,2063,1325.0600471771022
광주광역시,2064,1388.3692091248877
광주광역시,2065,1331.3458425837455
광주광역시,2066,1351.8797911280349
광주광역시,2067,1220.0113809928619
광주광역시,2068,1390.5604320059576
광주광역시,2069,1371.9101421987411
광주광역시,2070,1300.5125186179182
광주광역시,2071,1444.3712667561263
광주광역시,2072,1271.164321394447
광주광역시,2073,1375.5199222262816
광주광역시,2074,1224.626392655407
광주광역시,2075,1362.7814981803617
광주광역시,2076,1313.4459059900519
광주광역시,2077,1321.8662929617244
광주광역시,2078,1261.7724723541478
광주광역시,2079,1264.7061632334755
광주광역시,2080,1447.1490945719988
광주광역시,2081,1381.1247929195704
광주광역시,2082,1318.7770904760566
광주광역시,2083,1346.9365822771467
광주광역시,2084,1283.319771175247
광주광역시,2085,1364.1929587384782
광주광역시,2086,1200.3426682286981
광주광역시,2087,1257.2833459209194
광주광역시,2088,1234.4451008529113
광주광역시,2089,1264.396468216052
광주광역시,2090,1229.9563980651415
광주광역시,2091,1329.990758135679
광주광역시,2092,1260.522722290917
광주광역시,2093,1336.0640612705147
광주광역시,2094,1263.0564533919742
광주광역시,2095,1350.073789835319
광주광역시,2096,1240.1912934886466
광주광역시,2097,1329.3320649730215
광주광역시,2098,1224.4624316757531
광주광역시,2099,1294.7371156980666
광주광역시,2100,1306.9746439762253
대구광역시,2021,1433.0864347389274
대구광역시,2022,1276.6078551806993
대구광역시,2023,1442.7789810729541
대구광역시,2024,1401.9066376391074
대구광역시,2025,1394.6345539779113
대구광역시,2026,1271.730329642536
대구광역시,2027,1371.2050509006856
대구광역시,2028,1219.7598848850607
대구광역시,2029,1331.9231513812388
대구광역시,2030,1262.3529535746402
대구광역시,2031,1203.5698834096784
대구광역시,2032,1323.4992921678281
대구광역시,2033,1231.7527083801708
대구광역시,2034,1278.3720956047662
대구광역시,2035,1231.9932880648605
대구광역시,2036,1268.4441936685025
대구광역시,2037,1369.4438913907939
대구광역시,2038,1218.1545868578573
대구광역시,2039,1288.7595144587456
대구광역시,2040,1354.217368058678
대구광역시,2041,1155.9093075539568
대구광역시,2042,1330.0351330654225
대구광역시,2043,1393.426927657093
대구광역시,2044,1366.4751647510116
대구광역시,2045,1265.3870389430642
대구광역시,2046,1405.3226497512928
대구광역시,2047,1314.7175380789117
대구광역시,2048,1232.1101597628146
대구광역시,2049,1366.8466967246516
대구광역시,2050,1360.7253465391748
대구광역시,2051,1413.3304864897143
대구광역시,2052,1373.9255660900967
대구광역시,2053,1246.6694962974932
대구광역시,2054,1256.8392569342961
대구광역시,2055,1309.75517578125
대구광역시,2056,1314.298668818851
대구광역시,2057,1275.5921655449079
대구광역시,2058,1352.014733974539
대구광역시,2059,1389.1331409481788
대구광역시,2060,1222.3366890667153
대구광역시,2061,1388.0850162643324
대구광역시,2062,1325.633964351956
대구광역시,2063,1485.6291779662208
대구광역시,2064,1252.3152986595098
대구광역시,2065,1329.4902540467626
대구광역시,2066,1409.579199921313
대구광역시,2067,1242.0731462876574
대구광역시,2068,1374.079027969031
대구광역시,2069,1258.1975297886693
대구광역시,2070,1448.6617280589592
대구광역시,2071,1311.2352082396583
